Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Churn_Probability,Churn_Probability_Percent,Predicted_Churn,Risk_Level,Retention_Recommendation,Retention_Priority
13318-AND,Male,45,No,Andhra Pradesh,11,25,Deal 5,No,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,31.350000381469727,31.350000381469727,0.0,80,0.0,111.3499984741211,Churned,Attitude,Attitude of service provider,0.93,93.0,1,High,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support. Key signals: month-to-month contract, premium support not active.",High
16741-UTT,Female,34,Yes,Uttar Pradesh,15,4,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,75.44999694824219,480.75,0.0,0,126.69999694824219,607.4500122070312,Churned,Competitor,Competitor had better devices,0.53,53.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",Medium
16784-HAR,Female,50,Yes,Haryana,6,16,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.1500015258789,1057.550048828125,0.0,70,416.760009765625,1544.31005859375,Stayed,Others,Others,0.62,62.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",Medium
16794-TEL,Male,47,No,Telangana,9,3,None,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.700000762939453,19.700000762939453,0.0,0,1.909999966621399,21.610000610351562,Churned,Attitude,Attitude of service provider,0.99,99.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
19522-RAJ,Female,52,Yes,Rajasthan,6,7,None,No,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.599998474121094,155.35000610351562,0.0,0,0.0,155.35000610351562,Churned,Dissatisfaction,Poor expertise of online support,0.75,75.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
19567-MAD,Female,45,Yes,Madhya Pradesh,9,30,None,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,69.55000305175781,284.8999938964844,0.0,0,148.9199981689453,433.82000732421875,Stayed,Others,Others,0.65,65.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Offer a service review or upgrade consultation. Key signals: month-to-month contract, premium support not active, fiber service customer.",Medium
19572-RAJ,Female,52,No,Rajasthan,11,19,None,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,45.650001525878906,191.0500030517578,0.0,0,181.60000610351562,372.6499938964844,Churned,Competitor,Competitor had better devices,0.52,52.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer priority/premium customer support | Evaluate eligibility for a value plan. Key signals: month-to-month contract, premium support not active, no value deal assigned.",Medium
19665-JAM,Male,38,No,Jammu & Kashmir,1,3,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,-9.0,45.79999923706055,0.0,10,22.110000610351562,77.91000366210938,Churned,Competitor,Competitor made better offer,0.93,93.0,1,High,"Offer an incentive to move to a long-term contract | Offer an early-tenure loyalty benefit | Offer priority/premium customer support. Key signals: month-to-month contract, short customer tenure, premium support not active.",High
19698-UTT,Male,64,No,Uttar Pradesh,7,13,None,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.8499984741211,635.5999755859375,0.0,0,108.56999969482422,744.1699829101562,Churned,Competitor,Competitor had better devices,0.89,89.0,1,High,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer priority/premium customer support. Key signals: month-to-month contract, high monthly charge, premium support not active.",High
21218-PUN,Male,42,No,Punjab,0,11,None,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.4000015258789,6444.0498046875,0.0,0,1118.25,7562.2998046875,Stayed,Others,Others,0.57,57.0,1,Medium,"Offer an incentive to move to a long-term contract | Offer a personalized pricing or loyalty discount | Offer an early-tenure loyalty benefit. Key signals: month-to-month contract, high monthly charge, short customer tenure.",Medium
